SMILES,melting_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
FC1=CC=C(Br)C=C1,-1.4,0,0,0,0,2.5882,34.1,173.948,14.4957,62,7,36,38,3.22222,1.83333
ON=C(NN=C(Cl)C(F)(F)F)C(F)(F)F,118.85,3,2,1,0.0714286,2.0406,37.7552,256.979,15.1164,392,19,70,75,9.09722,3.25
O[C@@H]1CN2CCC[C@H](O)[C@H]2[C@@H]1O,143.5,4,3,0,0,-1.4529,42.6154,173.105,6.4113,173,18,64,77,4.55556,2.61111
S=C(NCC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC=C1,171,1,2,5,0.192308,4.8051,105.392,332.135,7.54852,1451,32,118,133,6.05556,5.47222
CCCCC(CC)COC(C)=O,-45,2,0,6,0.545455,2.7659,49.939,172.146,5.37957,237,11,46,46,5.72222,3.08333
ClC1=NC=CC=C1C(=O)NCC1=CC=CC=C1,120,2,1,3,0.166667,2.665,66.8592,246.056,8.78771,572,22,82,92,5.19444,3.88889
[O-][N+](=O)C1=C(C=C(F)C=C1)C(F)(F)F,23,2,0,1,0.0714286,2.7527,38.0564,209.01,12.2947,279,20,70,79,7.25694,2.97222
FC(F)(F)C(=N\OCC1OCCO1)\C1=CC=C(Cl)C=C1,25,4,0,4,0.190476,2.9959,65.688,309.038,9.96897,874,25,100,112,7.25694,4.36111
CC(C)(C)C1=CC=C(CBr)C=C1,10,0,0,1,0.0833333,3.879,57.773,226.036,8.37169,201,15,58,64,5.53472,2.66667
NC(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,162,1,1,1,0.0588235,2.8231,44.9639,257.028,11.6831,480,25,88,99,9.31944,3.44444
C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,185.25,1,1,5,0.227273,5.6026,93.7618,300.209,6.00418,1278,29,104,114,9.86806,4.90278
CC1=CC=C(C=C1)C#C,21,0,0,0,0,1.97632,39.114,116.063,6.82721,90,9,40,43,3.47222,2.16667
CCOC1=CC=C2NC(S)=NC2=C1,249,3,2,2,0.142857,2.2503,54.5147,194.051,8.43702,247,16,66,76,4.19444,2.94444
NC1=CC(F)=C(C=C1)C(O)=O,210,2,2,1,0.0909091,1.1061,37.7717,155.038,9.1199,150,14,52,58,5.19444,2.47222
CC1=CC=C(C=C1)S(=O)(=O)CC#N,149.5,3,0,2,0.153846,1.2923,48.8448,195.035,8.86525,250,17,62,69,5.78472,2.95833
COC1=CC(\C=C\C(O)=O)=CC=C1O,173,3,2,3,0.214286,1.4986,51.3286,194.058,8.08575,330,17,64,70,5.94444,3.27778
CC(CSC(C)=O)C(O)=O,5,3,1,3,0.333333,0.9868,39.9388,162.035,8.10175,136,9,40,40,5.83333,2.36111
CC1=C(C)C(O)=C(C)C(C)=C1O,233,2,2,0,0,2.33148,48.7196,166.099,6.38844,174,21,60,72,6.66667,2.66667
[O-][N+](=O)C1=CC=C(C=C1)C1=C(C(=NO1)C(=O)C1=CC=C2C=CC=CC2=C1)S(=O)(=O)C1=CC=CC=C1,131,7,0,6,0.153846,5.4668,127.868,484.073,9.49163,3578,62,192,232,10.7847,7.52778
C[C@]12CCC3C(C1CCC2=O)C1(C[C@H]2CC(O)(CC[C@]32C)C#C)OCCO1,308,4,1,0,0,3.3155,100.535,372.23,6.30898,1509,59,166,213,9.05556,5.55556
BrC1C2CC3CC(C2)CC1C3,139,0,0,0,0,3.206,49.76,214.036,8.23214,126,16,66,81,2.80556,2.22222
OC(=O)CC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,122,1,1,2,0.111111,3.3513,47.7858,272.027,11.3345,580,25,92,102,9.56944,3.66667
OC(=O)C1=C(Br)N=CC=C1,254,2,1,1,0.1,1.5423,38.8963,200.943,14.353,114,12,46,51,4.33333,2.30556
COC1=C(F)C=C(CBr)C=C1F,41,1,0,2,0.166667,2.8683,45.541,235.965,12.4192,191,17,56,64,5.44444,2.88889
ClC(=O)C1=C(N=C(S1)C1=CC=CC=C1)C1=CC=CC=C1,139,3,0,3,0.136364,4.8561,83.1695,299.017,9.96724,794,29,104,122,5.66667,4.44444
OC1(CCCCC1)C#N,35,2,1,0,0,1.20518,33.6478,125.084,6.2542,84,10,42,46,3.5625,2.125
CON(C)C(=O)NC1=CC=C(Br)C(Cl)=C1,96,2,1,2,0.133333,3.1276,62.9427,291.961,11.6785,394,20,70,78,6.80556,3.47222
CC(C#C)N(C(=O)CCl)C1=CC=CC=C1,43.5,1,0,3,0.2,2.2801,62.943,221.061,8.18743,358,21,68,77,6.19444,3.66667
CC(C)(C)C(=O)OCOC1=CC=CC=C1C(N)=O,95,4,1,4,0.222222,1.7111,66.0019,251.116,7.17474,675,24,86,95,8.25694,3.97222
CC\C(=C\C1=CC=CC=C1)[N+]([O-])=O,90.5,2,0,3,0.230769,2.7142,51.7044,177.079,7.37829,262,15,58,63,5.08333,3.11111
ClC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,30,1,0,2,0.125,4.7857,62.978,237.995,10.3476,404,18,74,82,4.69444,3.33333
C(CC1CCCCC1)C1CCCCC1,11.5,0,0,3,0.2,4.9272,62.384,194.203,4.85509,343,15,66,72,3.22222,3.25
C1=CC=C(C=C1)C1=C2C=CC=CC2=C(C2=CC=CC=C2)C2=C(C3=CC=CC=C3)C3=C(C=CC=C3)C(C3=CC=CC=C3)=C12,332.5,0,0,4,0.0816327,11.8142,180.704,532.219,7.60313,4685,82,238,295,8.55556,9.16667
CNC1=CC=C2C=C(NC2=C1)OC,165,2,2,2,0.142857,2.2182,54.3974,176.095,7.0438,243,17,66,77,4.19444,3.02778
SC1=NC(=CC=N1)C1=CC=CO1,200,4,1,1,0.0769231,2.0253,46.986,178.02,9.89,194,13,60,68,3.33333,2.69444
CCCCCCC(=O)OCC,-0.1,2,0,6,0.6,2.5199,45.392,158.131,5.45278,202,9,40,39,4.86111,2.91667
ClC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,113,1,0,2,0.125,3.7326,62.0615,216.034,9.00142,388,20,74,84,4.69444,3.38889
CC1(C)OC(=O)C(=NNC2=CC=C(Cl)C=C2)C(=O)O1,156,6,1,2,0.1,1.944,68.7727,282.041,9.40136,758,27,98,111,7.61806,4.05556
ClC1=C(N=CC=C1)C#N,84,2,0,0,0,1.60668,33.962,137.998,11.4999,86,10,40,44,3.47222,2.19444
CC1CCOS(=O)O1,5,3,0,0,0,0.3905,29.2584,136.019,8.50121,61,7,36,38,3.22222,1.83333
CC1(O)CCC2C3CCC4=CC(=O)C(C=O)=CC4(C)C3C(O)CC12C,210.5,4,2,1,0.0357143,2.5852,93.6366,344.199,6.49432,1263,56,150,192,9.96528,5.13194
CCN(CC)C1=CC=C(C=C1)C(C)=O,48,2,0,4,0.285714,2.7354,60.0075,191.131,6.16552,322,19,64,72,5.94444,3.38889
CC12CCC3C(CCC4CC(=O)CCC34C)C1=CCC2=O,151,2,0,0,0,4.0874,81.717,286.193,6.08922,802,44,126,160,7.04167,4.30556
CC1CCC2=C(N1)C=C1CCC(C)N(C(=O)C3=CC=CC=C3)C1=C2,145,2,1,1,0.037037,4.4147,98.8822,320.189,6.6706,1262,42,132,159,7,5.16667
CCCC(C)O,-73,1,1,2,0.4,1.1673,26.5888,88.0888,4.89382,32,3,20,18,3.61111,1.58333
OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,179.5,2,1,2,0.117647,3.2766,62.9913,232.029,9.28116,459,22,80,91,5.55556,3.55556
OC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,63.5,5,1,2,0.153846,1.2086,41.4156,184.012,10.8242,234,19,62,71,6.30556,2.94444
CC1=CC=C2C(C=CC3=CC4=CC=CC=C4C=C23)=C1,156.5,0,0,0,0,5.45462,83.697,242.11,7.33665,652,33,108,131,4.52778,4.02778
NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,165,7,3,4,0.166667,1.0923,79.7499,286.154,7.33729,910,31,118,143,5.63889,4.52778
ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl,40,0,0,0,0,5.2109,62.043,339.751,26.1347,196,29,74,95,8.40972,2.56944
CN1CC(C2=CC=CC=C2)(C2=CC=CC=C2)C(=O)C2=C(C=C(C3=CC=CC=C3)C3=C2C=CC=C3)C1=O,264.85,2,0,3,0.0731707,6.7614,144.339,467.189,7.65883,3333,75,202,251,9.53472,7.84722
NC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,201,3,1,0,0,1.4747,52.1694,207.009,10.3504,263,25,74,90,5.66667,3.08333
NC1=CC=C(\C=C\C(O)=O)C=C1,121.5,2,2,2,0.166667,1.3666,47.5242,163.063,7.76492,223,12,54,57,4.83333,2.75
CC1=CC2=C(C=C1)N=CC=C2,-22,1,0,0,0,2.54322,46.48,143.073,7.15367,144,14,56,64,3.08333,2.44444
COC1=CC=CC=C1C1NN2C(S1)=NN=C2C1=CC=C(C=C1)[N+]([O-])=O,152,8,1,4,0.142857,3.2099,93.0651,355.074,9.34405,1563,40,136,164,7.25,5.5
OC(=O)C1=C(Cl)C=C(Br)C=C1,173,1,1,1,0.0909091,2.8007,46.1113,233.908,15.5939,150,14,52,58,5.19444,2.47222
CC1CS1,-91,1,0,0,0,1.1217,21.92,74.019,7.4019,8,0,18,19,1.61111,0.916667
CCOC(=O)COC(=O)C1=CC=CC=C1OC(C)=O,51.5,6,0,5,0.263158,1.3318,64.6665,266.079,8.063,782,24,86,94,7.80556,4.47222
CCCCCC(C)CCC,-99,0,0,6,0.666667,4.0029,48.214,142.172,4.44288,150,8,36,35,4.61111,2.66667
FC(F)(F)C1=CC=CC=C1C=O,-40,1,0,1,0.0833333,2.5179,36.8315,174.029,10.237,185,16,58,65,5.53472,2.69444
OCC(O)C=O,145,3,2,2,0.4,-1.4615,19.1566,90.0317,7.50264,31,4,20,19,3.61111,1.66667
CCOC(=O)C(CC=C)(C=C1C2CCC(C)(C1=O)C2(C)C)\C=C1\C2CCC(C)(C1=O)C2(C)C,148,4,0,6,0.166667,6.0152,129.284,452.293,6.19579,2742,69,194,251,14.5903,6.94444
CCOP(C)(=O)SCCN(C(C)C)C(C)C,-51,4,0,8,0.533333,3.6978,74.5925,267.142,6.36053,500,19,70,74,8.64583,3.72222
CC1=CC=CC(=C1N=C=O)C(C)(C)C,37,2,0,1,0.0714286,3.25982,57.6605,189.115,6.52122,284,20,68,77,6.64583,3.13889
CC(=O)C1=CSC=C1,60,2,0,1,0.125,1.9507,34.3235,126.014,9.001,62,6,36,39,3.22222,1.86111
[O-][N+](=O)C1=C(C=C(Br)C=C1)C(F)(F)F,34,2,0,1,0.0714286,3.3761,45.7984,268.93,15.8194,279,20,70,79,7.25694,2.97222
CCCCCCOC(=O)C(C)=C,-57,2,0,6,0.545455,2.686,49.915,170.131,5.67102,256,11,46,46,5.72222,3.02778
OC1=CC=C(C=C1)C1=CC=C(O)C(=C1)[N+]([O-])=O,182,4,2,2,0.111111,2.673,61.862,231.053,8.88666,524,25,86,99,6.41667,3.75
CCOP(=O)(OCC)C(C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,164.5,10,1,16,0.4,8.8958,159.76,628.27,6.90406,4025,82,204,249,20.3194,9.15972
CC1=CC=C(N)C=C1I,36,1,1,0,0,2.18182,48.3084,232.97,13.7041,84,10,42,46,4.08333,2.02778
OC1=C(C=CC=C1C1=CC=CC=C1)C1=CC=CC=C1,102,1,1,2,0.0952381,4.7262,78.9788,246.104,7.45771,690,29,98,115,4.80556,4.27778
CC1=CC(Cl)=C(C=C1S(N)(=O)=O)S(N)(=O)=O,260,4,2,2,0.125,-0.05678,58.9354,283.969,11.3588,399,25,84,96,9.06944,3.22222
CCOC(=O)C1=NN(CO)C(C)=C1,71,5,1,3,0.230769,0.31802,45.1393,184.085,7.36339,257,16,60,68,5.69444,3.13889
OC1=C(I)C=C(Cl)C2=CC=CN=C12,178.5,2,1,0,0,3.1984,61.1348,304.91,16.9395,218,21,68,81,4.80556,2.86111
CC1=CC=C(OC(=O)C(C)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,111,2,0,4,0.153846,4.90662,96.152,316.146,7.18514,1290,39,124,146,7.36806,5.33333
FC(F)(Cl)C(Cl)(Cl)Cl,40.6,0,0,0,0,3.1882,31.09,201.872,25.234,58,9,38,40,6.125,1.5625
COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC(C)C,125,8,1,8,0.258065,2.9708,108.436,418.174,7.46739,2290,49,148,172,12.7222,6.80556
ClS(=O)(=O)C1=C(Br)C=C(Br)C=C1,84,2,0,1,0.0833333,3.1391,54.8808,331.791,22.1194,186,16,60,67,6.14583,2.52778
BrC1=CC=CC2=C1C=CN=C2,82,1,0,0,0,2.9973,49.443,206.968,12.1746,140,15,56,65,3.08333,2.47222
O=C1CCN2CCCCC2C1,208,2,0,0,0,1.2038,43.453,153.115,5.88905,144,14,56,64,3.08333,2.44444
COC1=CC=C(C(O)=O)C(F)=C1,196,2,1,2,0.166667,1.5325,39.9113,170.038,8.94936,197,16,56,63,5.44444,2.80556
CC1=CNC=C1,-48.4,0,1,0,0,1.32312,25.5297,81.0578,6.23522,26,2,26,27,2.11111,1.41667
O=C(CC1=CC=CC=C1)OC(=O)CC1=CC=CC=C1,73.3,3,0,4,0.2,2.5416,71.391,254.094,7.69983,828,22,90,98,5.69444,4.33333
CCC1(O)CCCCC1,34.5,1,1,1,0.111111,2.0916,38.3258,128.12,5.1248,84,10,42,46,3.5625,2.125
CCOC(=O)C1=CC2=CC3=C(C=CC=C3)C=C2C=C(C(=O)OCC)C1=O,161,5,0,4,0.142857,3.7066,99.637,350.115,7.95717,1543,47,134,159,9,5.91667
CCOC,-113,1,0,1,0.333333,0.6527,17.55,60.0575,5.00479,10,1,10,8,2.5,1.25
CC(=O)OC1CC2C(O)C3(C4CC5C(C)(CCCC5(C13)C(=O)O4)C=O)C(=O)C2=C,209,7,1,2,0.0606061,1.3612,98.1798,402.168,7.31214,1696,72,178,236,11.2986,6.06944
OC(=O)C1=C2OCCOC2=C(Br)S1,150,4,1,1,0.0714286,1.98,49.9683,263.909,14.6616,223,19,68,81,4.80556,2.86111
CC1=CC=CC=C1C(=O)N(NC(=O)C1=CC=CC=C1)C(C)(C)C,214.5,2,1,2,0.0833333,3.58072,91.0097,310.168,6.89263,1170,35,116,133,9.22917,5.02778
COC1=CC=C(C=CC(=O)OC2=CC=C(C=CC(=O)C3=CC=CC=C3)C=C2)C=C1,158,4,0,7,0.225806,5.2101,113.911,384.136,7.83951,2982,39,142,159,8.52778,6.61111
CCCC=C(C)C,-0.4,0,0,2,0.333333,2.7527,34.339,98.1096,4.67188,52,4,24,22,3.86111,1.83333
OC(C(O)=O)C1=CC(F)=CC=C1,96,2,2,2,0.166667,0.9437,38.9956,170.038,8.94936,197,15,56,62,5.44444,2.72222
CC12CC(O)C3C(CCC4CC(O)CCC34C)C1CCC2(O)C(=O)CO,244.5,5,4,2,0.0689655,1.6533,96.1662,366.241,6.10401,1425,59,154,198,10.2153,5.4375
CC(OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1)C(=O)OCCON=C(C)C,66.3,8,0,9,0.272727,4.7984,116.848,443.125,8.36085,3548,43,154,173,10.25,6.88889
NC1=CC=CC=C1N1CCCCC1,46,2,1,1,0.0714286,2.2591,56.9184,176.131,6.07349,240,17,64,73,3.58333,2.97222
O=C1O[C@@]23C[C@@H](C=CC2=C1)N1CCCC[C@H]31,142.5,3,0,0,0,1.405,58.796,217.11,7.00356,357,30,98,125,3.86806,3.30556
[O-][N+](=O)C1=C(C=O)C=C(F)C=C1,94.5,3,0,2,0.166667,1.5464,38.4419,169.018,10.5636,191,16,56,63,5.44444,2.80556
CC(=O)NC1=CC=C2C(C=CC(O)=C2NC(C)=O)=C1,235,3,3,2,0.1,2.4622,74.2202,258.1,7.82123,712,28,96,110,7.52778,4.16667
COC(=O)C1=CC=C(C=C1)N(C)C,100,3,0,2,0.153846,1.5392,52.1085,179.095,6.88825,262,17,60,67,5.69444,3.05556
FC(F)(F)C1=NC2=C(NC(=O)\C1=N\NC1=CC(=NN1)C1=CC=CC=C1)C=CC=C2,159,5,3,3,0.09375,3.2598,100.575,398.11,9.47882,2314,48,156,183,8.95139,6.19444
CCOC1=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=CC=C1C(O)=O,130.5,4,2,10,0.285714,5.2199,131.119,452.268,6.5546,3368,50,164,188,11.3611,7.47222
FC1=CN=C(C=C1)C#N,43,2,0,0,0,1.09238,28.91,122.028,10.169,90,9,40,43,3.47222,2.16667
CC(C)(C)OC(=O)N1CC(C1)C#N,70,3,0,0,0,1.37688,46.91,182.106,6.74465,272,13,64,70,6.39583,2.81944
CCCOC1=CC=C(C=C1)C(O)=O,145,2,1,4,0.307692,2.1736,49.1873,180.079,7.20315,280,15,58,63,5.08333,3.11111
FC1=CC=C2N=C(N3C=NC=N3)N(C(=O)C2=C1)C1=CC=C(Cl)C=C1Cl,192,6,0,2,0.0714286,3.4123,92.235,375.009,11.3639,1333,43,138,167,7.86111,5.36111
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,244,8,1,3,0.142857,1.1458,65.6691,277.038,10.6553,676,28,102,122,6.02778,4.13889
FC(F)(F)C1=NN=C2SC(=S)NN12,160,5,1,0,0,1.86719,41.0507,225.959,16.14,223,17,72,85,5.50694,2.63889
COC1=C(O)C=CC(CCO)=C1,41,3,2,3,0.25,0.9356,45.4486,168.079,7.00328,204,15,54,60,4.83333,2.94444
FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl,6,4,0,7,0.291667,4.2432,76.128,371.022,10.9124,1203,32,116,132,9.22917,5.01389
OCC1=CC=C(OCC2=CC=CC=C2)C=C1,86,2,1,4,0.235294,2.7579,63.1388,214.099,7.13665,512,19,76,84,4.33333,3.75
CN1N=CC2=C1N=CN=C2NCCN,297,6,2,3,0.2,-0.2661,53.8481,192.112,7.38894,300,19,70,82,4.44444,3.25
CC1(C)CCC(C)(C)C1,-88.4,0,0,0,0,3.2227,41.413,126.141,4.67188,79,8,48,52,4.875,1.75
NS(=O)(=O)C1=C(Cl)C=C(Br)C=C1,174,2,1,1,0.0833333,1.7499,50.5252,268.891,15.8171,186,16,60,67,6.14583,2.52778
CCOC1=C(C=CC=C1)C(N)=O,133,2,1,3,0.25,1.1842,46.1289,165.079,7.17735,197,15,54,60,4.83333,2.88889
CC(C)C1CCC(C)CC1OC(=O)C1=CCC(=CC1)C(=O)OC1CC(C)CCC1C(C)C,68,4,0,6,0.176471,6.641,127.846,444.324,5.84637,3346,51,164,190,12.3333,7
OC(=O)CC1=C(Cl)C=C(F)C=C1,103.5,1,1,2,0.166667,2.1062,42.7498,188.004,10.4447,202,14,56,61,5.44444,2.69444
CC(=O)CC(=O)NC1=CC=CC=C1C,105,2,1,3,0.214286,1.91262,55.1067,191.095,7.07758,328,16,64,69,5.94444,3.19444
NC(CSSCC(N)C(O)=O)C(O)=O,260,6,4,7,0.538462,-0.8084,56.1384,240.024,9.23169,379,15,58,60,7.44444,3.30556
C[C@@H](OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1)C(=O)N(C)C1=CC=CC=C1F,77.5,5,0,6,0.176471,5.8429,115.435,440.094,8.98151,3231,48,164,192,9.97222,6.72222
C\C(=N/NC(=O)NC1=CC(F)=CC(F)=C1)C1=NC=CC=C1C(O)=O,135.5,4,3,4,0.16,2.6037,81.9197,334.088,9.28022,1518,34,118,133,9.38889,5.33333
CCCCCOC(=O)CC,-73.1,2,0,5,0.555556,2.1298,40.775,144.115,5.54289,153,8,36,35,4.61111,2.66667
OC1=C(Cl)C=C(Cl)C(Cl)=C1[N+]([O-])=O,92.5,3,1,1,0.0769231,3.2606,49.7912,240.91,16.0607,222,21,64,75,6.91667,2.88889
CC(C)NC(C)C,-61,1,1,2,0.333333,1.3928,33.4077,101.12,4.59638,48,4,26,24,4.47222,1.66667
CCOC(=O)C1=NN(C(C)=C1C(=O)C1=NOC(=C1S(=O)(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1)C1=CC=C(C)C=C1,173,9,0,8,0.163265,6.53784,163.766,605.162,8.52341,6240,81,242,296,13.9792,9.58333
CC(C)(C=C)C(O)=O,-6,1,1,2,0.285714,1.2832,31.6138,114.068,6.33712,62,9,34,36,5.42361,1.875
COC1=CC(NC(N)=S)=CC=C1,160,2,2,2,0.166667,1.3507,53.4021,182.051,8.27506,209,13,54,58,4.83333,2.83333
OC1CCCC1C1CCCC1,20,1,1,1,0.0833333,2.3376,45.3058,154.136,5.31503,147,11,56,65,3.08333,2.47222
OC1=CC2=C(C=CN=C2)C=C1,227,2,1,0,0,1.9404,43.4078,145.053,8.05849,144,14,56,64,3.08333,2.44444
CC1=CC(C)=C(CC#N)C(C)=C1,78.5,1,0,1,0.0833333,2.67794,49.97,159.105,6.36419,193,16,56,63,5.44444,2.80556
CC(C)SSC(C)C,-69,2,0,3,0.428571,3.1846,45.454,150.054,6.82062,74,5,30,28,4.72222,1.91667
OC(CCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,120,2,1,5,0.208333,3.7985,90.7908,295.194,6.28072,1039,33,112,130,5.64583,4.95833
CC(=O)C1=NC(S)=C(C=C1)C#N,210,4,1,1,0.0833333,1.44458,46.2085,178.02,9.89,198,16,56,63,5.44444,2.80556
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)[C@H]21)C=O,167,5,2,3,0.103448,1.8457,94.0726,360.194,6.67025,1436,56,150,191,9.51389,5.65278
CC(C)(C)N(NC(=O)C1=CC=CC=C1)C(=O)C1=CC=CC(=C1)C(F)(F)F,203.5,2,1,2,0.0740741,4.2911,91.2747,364.14,8.092,1663,40,134,153,11.2917,5.5
CCCCCC\C=N\O,57.5,2,1,5,0.625,2.4168,39.0375,129.115,5.37981,120,6,30,28,3.75,2.5
OC1=CC=C(SC(F)(F)F)C=C1,59,2,1,1,0.0833333,3.0041,40.0188,194.001,11.4118,207,12,58,61,5.53472,2.54167
CC(=O)C1=CC=C2C=C3C=CC=CC3=CC2=C1,190,1,0,1,0.0526316,4.1956,71.4585,220.089,7.58927,500,27,92,109,4.91667,3.66667
BrCOCBr,-34,1,0,2,0.5,1.7078,28.673,201.863,22.4292,20,2,14,12,2.75,1.5
NC1=C(I)C=C(Cl)C=N1,97,2,1,0,0,1.9218,46.3764,253.911,19.5316,84,10,42,46,4.08333,2.02778
COC1=CC=C(C=C1N)C(F)(F)F,58,2,1,1,0.0769231,2.2962,42.4084,191.056,9.0979,242,18,64,72,6.39583,2.86111
CC(C)CCCl,-0.4,0,0,2,0.4,2.2713,30.175,106.055,6.23853,32,3,20,18,3.61111,1.58333
COC1=CC(=CC=C1O)C1NN2C(S1)=NN=C2C1=CC=CC=C1OC,137,8,2,4,0.142857,3.0159,94.6275,356.094,8.68523,1515,41,136,165,7.25,5.58333
CC(=O)OC(C(O)=O)C1=CC=CC=C1,97,3,1,3,0.214286,1.3754,48.5848,194.058,8.08575,305,17,64,70,5.94444,3.22222
CC1=C(C)C2=CC=CC=C2N1,106,0,1,0,0,2.78474,47.7727,145.089,6.59496,138,15,58,69,3.69444,2.41667
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,215,4,2,2,0.0714286,2.8108,93.7526,346.214,6.29481,1316,56,148,190,9.35417,5.24306
CC(NC(=O)C1=CC=CC=C1)C(O)=O,165.5,2,2,3,0.214286,0.8895,51.006,193.074,7.72296,325,17,64,70,5.94444,3.22222
COS(=O)(=O)C1=CC=C(C)C=C1,28.5,3,0,2,0.166667,1.33012,45.3738,186.035,8.45614,195,16,58,65,5.53472,2.70833
COC1=CC=CC2=C1C=CN2,70,1,1,1,0.0833333,2.1765,44.8507,147.068,7.35342,141,14,56,66,3.08333,2.55556
CCCCCC#CCCCC,-74.1,0,0,5,0.5,3.7603,51.443,152.157,4.90827,220,8,38,36,4.25,3
CC1=CC=C(C=C1)C1=CSC(=N1)C(=NNC1=CC=C(F)C=C1)C#N,196,5,1,4,0.153846,4.5974,94.4597,336.084,9.08336,1535,33,122,140,7.27778,5.38889
FC(F)(F)C1=C(NNC2=CN=CC=C2)C(=O)N=C2C=CC=CC2=N1,157,6,2,3,0.115385,2.8428,82.2924,333.084,9.79658,1286,40,126,146,7.97917,5.16667
CC1=C(C=CC=C1N)C(O)=O,187,2,2,1,0.0909091,1.27542,42.5507,151.063,7.55317,146,15,52,59,5.19444,2.5
OC1=C(Cl)N=CC=C1,170,2,1,0,0,1.4406,30.9118,128.998,10.7498,60,8,36,39,3.22222,1.86111
CN(C)C(=S)N(C)C,79.3,1,0,0,0,0.3945,39.972,132.072,6.60361,65,8,32,33,5.33333,1.88889
COC(=O)C1=CC=C(I)C(N)=C1,135,3,1,1,0.0833333,1.66,54.9109,276.96,13.848,198,16,56,63,5.44444,2.80556
NC1=CC(=CC=C1)C(=O)C1=CC(N)=CC=C1,173.5,3,2,2,0.117647,2.082,65.1413,212.095,7.57482,441,22,80,91,5.55556,3.55556
NNC(=O)C1=CC(N)=CC=C1,92,3,3,1,0.0909091,-0.1277,42.508,151.075,7.55373,156,13,50,55,4.58333,2.61111
COC1=CC=C(C=C1)C1=NNC(N\N=C2\C(=O)NC3=C(C=CC=C3)N=C2C(F)(F)F)=C1,154,6,3,4,0.117647,3.2684,107.127,428.121,9.30698,2876,52,166,195,10.0625,6.69444
S1N=CC2=CC=CC=C12,38,2,0,0,0,2.2963,39.62,135.014,9.64388,79,9,46,53,1.97222,2.02778
NNC(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,140,3,2,4,0.210526,1.8691,68.8696,242.106,7.5658,717,23,86,96,5.44444,4.19444
OC1CCC2=C(C1)C=CC=C2,15.5,1,1,0,0,1.5362,44.4738,148.089,6.43864,144,14,56,64,3.08333,2.44444
ClC#CCl,-66,0,0,0,0,1.3824,19.482,93.9377,23.4844,10,1,10,8,2.5,1.25
NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,102,1,1,3,0.136364,3.9372,83.3954,259.136,7.00368,730,33,104,124,5.14583,4.5
BrC(Br)(Br)C=O,-57.5,1,0,0,0,2.0238,35.576,277.758,39.6797,28,3,24,22,4.3125,1.375
ClC1=C(C=O)C(=O)N(N1)C1=CC=CC=C1,167,3,1,2,0.125,1.6315,56.7872,222.02,10.0918,353,22,76,90,5.30556,3.44444
CC(=O)C1=CC(C(C)=O)=C(O)C=C1O,180,4,2,2,0.142857,1.503,49.7806,194.058,8.08575,287,21,68,78,7.16667,3.11111
CC(=C)\C=C\C(C)=C,-9,0,0,2,0.285714,2.6948,38.768,108.094,5.4047,74,5,30,28,4.72222,1.91667
CC1=CC=C(F)C(C(O)=O)=C1Cl,117,1,1,1,0.0833333,2.48572,43.1063,188.004,10.4447,181,18,58,67,6.05556,2.69444
CCOC(=O)CSC1=C(C#N)C(N)=C(S1)C(=O)OCC,141,8,1,6,0.3,2.03388,76.7599,314.039,9.23646,879,28,92,105,8.66667,4.86111
CCN1C2=C(C=C(Br)C=C2)C2=C1C=CC(Br)=C2,139.35,1,0,1,0.0526316,5.3394,80.518,350.926,12.5331,458,29,94,115,5.52778,3.72222
