SMILES,logS,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,-2.17,3,2,2,0.111111,1.2492,60.9564,236.116,7.15503,458,31,88,107,6.50694,3.875
CCCCC(O)CC,-1.47,1,1,4,0.571429,1.9475,35.8228,116.12,4.83834,76,6,28,27,4.11111,2.16667
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,0,0,0,0,3.7268,40.58,233.813,29.2266,58,9,38,40,6.125,1.5625
CC1CCCCC1C,-4.33,0,0,0,0,2.8326,36.796,112.125,4.67188,60,8,36,39,3.22222,1.86111
CSC1=CC=CC=C1,-2.39,1,0,1,0.125,2.4085,38.223,124.035,7.75217,64,7,34,36,2.61111,2
CN(C)C(=O)NC1=CC=CC=C1,-1.6,1,1,1,0.0833333,1.7801,49.1477,164.095,6.83729,212,13,54,58,4.83333,2.77778
ClC1=CC=CC(Cl)=C1C1=CC=CC=C1,-5.21,0,0,1,0.0666667,4.6604,61.898,222,10.0909,286,20,70,81,4.44444,3.16667
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,6,0,5,0.357143,0.0443,48.82,218.079,7.51997,424,14,62,62,7.69444,3.5
ClC(Cl)=C(Cl)Cl,-2.54,0,0,0,0,3.0682,30.438,163.875,27.3126,29,4,22,21,4.22222,1.44444
COC(=O)C1=CC=C(N)C=C1,-1.59,3,1,1,0.0909091,1.0554,42.1939,151.063,7.55317,160,13,50,55,4.58333,2.61111
CCCCCCC,-4.53,0,0,4,0.666667,2.9767,34.433,100.125,4.35327,56,4,22,20,3.25,2
CCCCCCCCCCCCO,-4.67,1,1,10,0.833333,3.8996,58.9298,186.198,4.77432,364,10,46,44,4.75,3.5
CNC(=O)OC1=CC(=CC=C1)N=CN(C)C,-2.34,3,1,3,0.1875,1.6262,63.3647,221.116,7.13279,500,18,72,77,6.44444,3.75
CC(C)CC(C)O,-0.8,1,1,2,0.333333,1.4133,31.1358,102.104,4.86212,48,4,26,24,4.47222,1.66667
CC(=C)C(O)=O,0.01,1,1,1,0.2,0.6471,22.4498,86.0368,7.16973,29,4,22,21,4.22222,1.44444
CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,-2.74,3,1,1,0.0555556,1.2013,60.9667,236.116,7.15503,458,32,90,110,7.11806,3.72222
ClC(Cl)C(=O)N(CC=C)CC=C,-1.62,1,0,5,0.454545,1.9907,52.468,207.022,9.00095,211,14,48,51,6.33333,3.05556
CCCCC=CC,-3.82,0,0,3,0.5,2.7527,34.339,98.1096,4.67188,56,4,22,20,3.25,2
CCCCCCCBr,-4.43,0,0,5,0.714286,3.3517,42.553,178.036,7.74068,84,5,26,24,3.5,2.25
CCC(=O)C1=CC=C(N)C=C1,-2.63,2,1,2,0.181818,1.8615,45.4759,149.084,6.77655,160,13,50,55,4.58333,2.61111
CC1=CC(O)=CC(C)=C1,-1.4,1,1,0,0,2.00904,37.5808,122.073,6.4249,84,9,42,45,4.08333,2
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,-3.11,5,2,2,0.0689655,1.9898,94.1426,360.194,6.67025,1425,59,154,198,10.2153,5.4375
CCCC(C)(O)CC,-1,1,1,3,0.428571,1.9475,35.8228,116.12,4.83834,67,7,32,32,4.8125,2
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,-2.82,4,2,2,0.111111,1.6838,67.1606,248.062,8.55386,516,26,88,102,6.50694,3.66667
CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O,-4.12,2,1,0,0,3.8792,82.7168,288.209,5.88181,802,44,126,160,7.04167,4.30556
CC(=O)NC1=CC=CC=C1Cl,-1.4,1,1,1,0.0909091,2.2984,45.7557,169.029,8.89629,158,12,50,54,4.58333,2.52778
CCCCCCCCCC(=O)OCC,-4.1,2,0,9,0.692308,3.6902,59.243,200.178,5.26783,428,12,52,51,5.61111,3.66667
CCCCCC1=CC=CC=C1,-4.64,0,0,4,0.363636,3.4193,49.671,148.125,5.48612,182,10,46,48,3.36111,2.75
CCCCCCCCC(O)=O,-2.75,1,1,7,0.7,2.8216,45.6288,158.131,5.45278,212,8,40,38,4.86111,2.83333
CC(=O)NC1=C(C)C=C(C)C(NS(=O)(=O)C(F)(F)F)=C1,-3.24,3,2,3,0.15,2.52334,68.8172,310.06,9.39575,804,31,102,116,10.6806,4.15972
ClC1=CC=C(C=C1Cl)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-7.82,0,0,1,0.0526316,7.274,81.938,357.844,16.2657,577,31,94,112,7.88889,3.91667
OC1=CC=C(Br)C=C1,-1.09,1,1,0,0,2.1547,35.8068,171.952,13.2271,62,7,36,38,3.22222,1.83333
FC(F)(Cl)C(F)(Cl)Cl,-3.04,0,0,1,0.142857,2.9189,26.345,185.902,23.2377,58,9,38,40,6.125,1.5625
OCCN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1,-4.15,5,1,6,0.181818,4.3081,113.598,437.175,7.80669,2618,49,160,188,9.20139,6.52778
COC(C)(C)C,-0.24,1,0,0,0,1.4313,26.762,88.0888,4.89382,28,3,24,22,4.3125,1.375
C1=CC2=C(C=C1)C1=C3C(C=CC4=C3C2=CC=C4)=CC=C1,-7.8,0,0,0,0,5.7372,87.652,252.094,7.87793,652,41,120,152,3.88889,4.22222
NNC(=O)C1=CC=NC=C1,0.01,3,2,1,0.1,-0.3149,35.8906,137.059,8.06229,121,11,44,48,3.72222,2.44444
CN(C)C(=O)NC1CCCCCCC1,-2.36,1,1,1,0.0714286,2.3705,58.3257,198.173,5.50481,325,18,62,66,5.33333,3.27778
OC(=O)C=CC1=CC=CC=C1,-2.48,1,1,2,0.181818,1.7844,43.1118,148.052,7.79223,174,10,48,50,3.97222,2.58333
CCCOC(=O)C1=CC=CC=C1,-2.67,2,0,3,0.25,2.2534,47.0155,164.084,6.83682,218,13,52,56,4.22222,2.94444
CCCC=O,-0.01,1,0,2,0.5,0.9854,20.972,72.0575,5.54289,20,2,14,12,2.75,1.5
IC1=CC=CC=C1,-2.78,0,0,0,0,2.2912,39.159,203.944,16.9953,42,5,30,31,2.36111,1.66667
ClC1=CC=CC=C1Br,-3.19,0,0,0,0,3.1025,39.152,189.918,15.8265,60,8,36,39,3.22222,1.86111
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.97,6,0,0,0,-1.0293,51.196,194.08,8.08668,258,25,76,94,6.27778,3.02778
CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,-0.63,4,0,2,0.111111,1.55042,70.074,231.137,6.79815,478,28,88,106,7.02778,3.77778
OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,-2.21,2,2,3,0.166667,2.0071,63.5186,228.079,7.86478,474,28,86,102,5.89583,3.83333
N1C2=C(C=CC=C2)C2=C1C=CC=C2,-4.97,0,1,0,0,3.3211,55.8047,167.073,7.59425,219,19,72,87,2.69444,2.83333
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,-4.32,6,2,2,0.0571429,2.4188,108.599,434.21,7.00339,2185,76,192,252,12.5903,6.27778
CCC1=CC=C(C)C=C1,-3.11,0,0,1,0.111111,2.55742,40.557,120.094,5.71876,90,9,40,43,3.47222,2.16667
CNC(=O)OC1=CC=CC=C1OC(C)C,-2.05,3,1,3,0.2,2.192,57.2897,209.105,6.97017,384,18,68,74,6.19444,3.52778
OC(=O)C1CCCCC1,-1.45,1,1,1,0.111111,1.6513,34.2108,128.084,6.09923,88,9,40,43,3.47222,2.11111
CCCCCCCCCC(O)=O,-3.44,1,1,8,0.727273,3.2117,50.2458,172.146,5.37957,277,9,44,42,5.11111,3.08333
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,-2.91,5,2,3,0.157895,1.67444,67.6399,267.068,8.61509,614,26,94,109,7.36806,3.84722
ClC1=CC=C(C=C1Cl)C1=CC(Cl)=C(Cl)C=C1Cl,-7.39,0,0,1,0.0555556,6.6206,76.928,323.883,14.722,504,27,88,103,7.02778,3.69444
CCCCBr,-2.37,0,0,2,0.5,2.1814,28.702,135.989,9.71348,20,2,14,12,2.75,1.5
CCCCC(C)O,-0.89,1,1,3,0.5,1.5574,31.2058,102.104,4.86212,52,4,24,22,3.86111,1.83333
NC(CC1=CC=C(O)C=C1)C(O)=O,-2.57,3,3,3,0.230769,0.3466,47.422,181.074,7.54475,268,15,60,65,5.69444,2.94444
BrC(Br)(Br)Br,-3.14,0,0,0,0,3.1773,38.439,327.673,65.5347,16,0,20,16,4.0625,1
CON(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,-3.52,2,1,2,0.133333,3.0185,60.2527,248.012,9.92048,394,20,70,78,6.80556,3.47222
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,2,0,5,0.384615,3.4735,64.777,217.15,5.86892,326,15,58,60,7.44444,3.36111
COP(=S)(OC)OC1=C(Cl)C=C(I)C(Cl)=C1,-6.62,4,0,4,0.25,4.4941,78.11,411.835,17.1598,434,24,78,89,7.75694,3.68056
IC1=CC=CC=C1C(=O)NC1=CC=CC=C1,-4.21,1,1,2,0.117647,3.5435,73.5542,322.981,12.4223,459,21,78,88,4.94444,3.63889
C1=CC(=CC=N1)C1=CC=NC=C1,-1.54,2,0,1,0.0769231,2.1436,47.468,156.069,7.80344,198,14,58,65,2.72222,2.77778
COC(=O)C1=CC=CC=C1,-1.85,2,0,1,0.1,1.4732,37.7815,136.052,7.55847,121,11,44,48,3.72222,2.44444
CC1CCCCC1=O,-0.94,1,0,0,0,1.7656,32.639,112.089,5.60444,60,8,36,39,3.22222,1.86111
N(C1=CC=CC=C1)C1=CC=CC=C1,-3.51,1,1,2,0.142857,3.4302,56.1667,169.089,7.04538,264,14,62,68,2.97222,3
NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,-3.66,5,3,5,0.227273,1.8907,75.8192,330.008,10.3127,939,30,108,124,8.72917,4.5
CC1=C2C=CC=CC2=C(C)C2=C1C=CC1=C2C=CC=C1,-7.02,0,0,0,0,5.76304,88.434,256.125,7.11459,696,39,114,142,5.38889,4.30556
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,-3.99,2,2,2,0.0952381,1.7696,70.3384,252.09,8.13193,617,32,102,124,5.50694,4.20833
FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1,-6.02,2,2,2,0.0909091,3.5801,74.2949,310.032,10.3344,1020,30,104,118,8.02778,4.66667
NCC1=CC=CC=C1,-1.53,1,1,1,0.125,1.1453,34.3334,107.073,6.29844,64,7,34,36,2.61111,2
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88,2,0,4,0.266667,4.8439,74.55,303.002,9.46881,478,21,70,76,9.16667,3.69444
OC1=C(Br)C=C(C=C1Br)C#N,-3.33,2,1,0,0,2.78888,48.2218,274.858,19.6327,148,15,52,59,5.19444,2.55556
CC1=C2C=CC=CC2=CC2=C1C=CC=C2,-5.89,0,0,0,0,4.30142,66.191,192.094,7.11459,326,25,82,99,3.80556,3.27778
CC(=O)NC1=CC=C(O)C=C1,-1.03,2,2,1,0.0909091,1.3506,42.4105,151.063,7.55317,166,11,50,53,4.58333,2.5
ClC1=CC=C(C=C1)C1=CC=C(Cl)C=C1,-6.56,0,0,1,0.0666667,4.6604,61.898,222,10.0909,315,18,70,79,4.44444,3.11111
OC(=O)C1=C(C=CC=C1)C(F)(F)F,-1.6,1,1,1,0.0769231,2.4036,38.4033,190.024,10.5569,228,18,64,72,6.39583,2.80556
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,-2.62,5,3,1,0.0555556,-0.3513,61.6364,296.964,11.8786,460,29,94,111,7.81944,3.43056
CC(=O)NC1=CC=CC=C1,-1.33,1,1,1,0.1,1.645,40.7457,135.068,7.10886,126,9,44,46,3.72222,2.33333
CNC1=C(Cl)C(=O)N(N=C1)C1=CC(=CC=C1)C(F)(F)F,-4.04,4,1,2,0.0952381,2.9464,69.3927,303.039,10.4496,797,33,104,122,8.47917,4.36111
C=CCSS(=O)CC=C,-0.83,2,0,5,0.625,1.7553,45.8614,162.017,8.52723,108,7,32,31,4.36111,2.41667
ClC1=CC=CC(=C1)C1=CC(Cl)=CC=C1,-5.8,0,0,1,0.0666667,4.6604,61.898,222,10.0909,301,18,70,79,4.44444,3.11111
CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1,-4.52,4,0,4,0.129032,4.9456,107.569,407.164,7.83008,2075,46,152,179,8.70139,5.94444
O=C1NC(=O)C(=O)C(=O)N1,-1.25,4,2,0,0,-2.0785,26.6884,142.001,11.8335,110,13,48,54,4.94444,2.22222
CC(=O)NC1=CC(C)=CC=C1,-2.09,1,1,1,0.0909091,1.95342,45.4827,149.084,6.77655,162,11,50,53,4.58333,2.5
CCCCCCCC=O,-2.36,1,0,6,0.75,2.5458,39.44,128.12,5.1248,120,6,30,28,3.75,2.5
CCCCC(=O)OCC,-1.75,2,0,4,0.5,1.7397,36.158,130.099,5.65649,108,7,32,31,4.36111,2.41667
C1CNCCN1,1.07,2,2,0,0,-0.8208,25.7394,86.0844,5.38027,27,3,24,24,1.5,1.5
CCC(O)(CC)CC,-0.85,1,1,3,0.428571,1.9475,35.8228,116.12,4.83834,64,9,32,34,4.8125,2.125
CC(C)C1=CC(O)=C(C)C=C1,-2.08,1,1,1,0.0909091,2.82402,46.9328,150.104,6.00418,152,14,52,58,5.19444,2.47222
ClC1=CC=C(Cl)C(=C1)C1=CC=CC(Cl)=C1Cl,-6.47,0,0,1,0.0588235,5.9672,71.918,289.922,13.1783,410,25,82,96,6.16667,3.52778
BrC=CBr,-1.32,0,0,0,0,2.2474,26.994,183.852,30.6421,10,1,10,8,2.5,1.25
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,-4.21,3,2,3,0.142857,2.31562,76.9052,296.119,7.40299,886,27,100,112,7.25694,4.375
NC1=NC=NC2=C1N=CN2,-2.12,4,2,0,0,-0.0649,36.0961,135.054,9.00363,105,12,52,61,2.83333,2.22222
CCCCCCCC(O)=O,-2.3,1,1,6,0.666667,2.4315,41.0118,144.115,5.54289,158,7,36,34,4.61111,2.58333
CC(C)C1=C(O)C=C(C)C=C1,-2.22,1,1,1,0.0909091,2.82402,46.9328,150.104,6.00418,150,14,52,58,5.19444,2.47222
CCCCCCCCCC(=O)OC,-4.63,2,0,8,0.666667,3.3001,54.626,186.162,5.31891,346,11,48,47,5.36111,3.41667
BrC1=CC2=C(C=CC=C2)C=C1,-4.4,0,0,0,0,3.6023,51.648,205.973,11.443,144,14,56,64,3.08333,2.44444
COC(=O)C(C)=C,-0.8,2,0,1,0.166667,0.7355,26.83,100.052,6.67016,46,6,26,26,4.47222,1.77778
CC(=O)NC1=CC=C(OC(C)=O)C=C1,-1.91,3,1,2,0.142857,1.5703,52.0547,193.074,7.72296,345,15,64,68,5.94444,3.16667
CC(C)(C)C1=CC=C(O)C=C1,-2.41,1,1,0,0,2.6897,46.8068,150.104,6.00418,152,13,54,59,5.28472,2.33333
OC(=O)C1=CC(I)=CC=C1,-3.27,1,1,1,0.1,1.9894,46.1183,247.933,16.5289,117,11,46,50,4.33333,2.27778
OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1,-2.9,4,2,2,0.0740741,3.5601,87.9531,318.089,8.37077,1164,44,134,165,7.09028,5.18056
NS(=O)(=O)C1=C(C=C2NC(CC3=CC=CC=C3)NS(=O)(=O)C2=C1)C(F)(F)F,-3.59,5,3,3,0.103448,1.6254,90.6954,421.038,10.2692,1752,46,150,176,11.3542,5.43056
CC(C)CC(C)(C)O,-0.92,1,1,2,0.285714,1.8034,35.7528,116.12,4.83834,66,5,34,32,5.42361,1.70833
O=C1NC(=S)NC=C1,-2.26,2,2,0,0,0.43249,32.2474,128.004,10.667,61,7,36,38,3.22222,1.83333
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,-6.36,0,0,2,0.105263,6.1879,80.632,315.938,12.1515,581,27,90,104,6.66667,4.02778
CN(C)CCCN1C2=C(SC3=C1C=CC=C3)C=CC=C2,-4.3,3,0,4,0.181818,4.241,87.184,284.135,7.10337,789,31,104,122,5.66667,4.44444
OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2O,-1.23,9,4,2,0.0952381,-1.8566,59.9972,268.081,8.64777,657,32,104,128,6.63889,4.19444
C=CCCC=C,-2.68,0,0,3,0.6,2.1386,29.628,82.0783,5.12989,35,3,18,16,3,1.75
CN(C)C(=S)SSC(=S)N(C)C,-3.9,4,0,0,0,2.0608,67.752,239.988,9.99951,226,13,50,52,6.94444,2.80556
CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,-5.24,3,0,6,0.214286,5.7605,102.946,350.188,6.73439,1945,34,136,159,9.09028,5.63889
O=C1CSC(=S)N1,-1.77,3,1,0,0,0.1343,33.1987,132.966,13.2966,41,4,32,34,2.97222,1.58333
CC1=NC=NC2=C1N=CC=N2,-0.47,4,0,0,0,0.72822,39.865,146.059,8.59172,140,15,56,65,3.08333,2.47222
CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,-2.18,4,3,5,0.277778,1.0568,69.4826,271.099,7.74569,685,23,84,92,7.64583,4.125
COC(=O)C1=CC=C(O)C=C1,-1.78,3,1,1,0.0909091,1.1788,39.4463,152.047,8.00249,160,13,50,55,4.58333,2.61111
CCCCCCC(=O)OCC,-2.71,2,0,6,0.6,2.5199,45.392,158.131,5.45278,202,9,40,39,4.86111,2.91667
CCOP(=S)(OCC)N1C(=O)C2=CC=CC=C2C1=O,-3.35,5,0,5,0.25,2.5801,74.479,299.038,9.06176,635,33,98,119,7.61806,4.38889
COC1=NC2=C(C=NC=N2)N=C1,-0.91,5,0,1,0.0769231,0.4284,41.68,162.054,9.00301,190,16,60,69,3.33333,2.77778
C1CCC=CC1,-2.59,0,0,0,0,2.1166,27.608,82.0783,5.12989,27,3,24,24,1.5,1.5
CCCCOC(=O)C1=CC=C(O)C=C1,-2.72,3,1,4,0.285714,2.3491,53.2973,194.094,6.93194,350,16,62,67,5.33333,3.36111
CC1=CC=NC2=C1C=CC1=C2N=CC=C1C,-3.97,2,0,0,0,3.39984,66.518,208.1,7.43214,388,28,88,107,4.66667,3.47222
OC(=O)CC1=CNC2=C1C=CC=C2,-2.07,1,2,2,0.142857,1.795,49.6385,175.063,7.95742,241,16,66,76,4.19444,2.88889
CCCCCCCOC(N)=O,-2.62,2,1,6,0.6,2.0521,44.2944,159.126,5.68307,212,8,40,38,4.86111,2.83333
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,-3.13,4,0,6,0.333333,2.3722,67.401,246.089,7.69029,649,24,80,89,6.94444,4.41667
CCCN(CCC)C1=C(C=C(C=C1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68,5,0,7,0.304348,4.1482,77.5478,335.109,8.59255,1082,37,112,129,11.3403,5.22222
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.64,5,3,2,0.0645161,1.8957,99.9444,392.2,6.8807,1670,70,168,221,12.0278,5.81944
CCCCOCCCC,-1.85,1,0,6,0.75,2.6032,40.635,130.136,4.81984,120,6,30,28,3.75,2.5
CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,-2.12,4,1,4,0.173913,1.9309,79.9558,289.168,6.572,959,32,110,130,6.52778,4.69444
CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O,-1.84,5,3,1,0.0344828,1.0271,85.1734,346.142,7.36472,1118,63,162,217,9.77778,4.97222
OC(=O)C1=CC=C(O)C=C1,-1.41,2,2,1,0.1,1.0904,35.0661,138.032,8.62698,120,11,46,50,4.33333,2.27778
CN(C)CCN(CC1=CC=CC=C1)C1=NC=CC=C1,-2.64,3,0,6,0.3,2.6498,80.283,255.174,6.37934,742,23,90,99,5.69444,4.36111
NC1=NC=CS1,-0.36,3,1,0,0,0.7253,26.5264,100.01,10.001,26,2,26,27,2.11111,1.41667
CC1=CC(C)=CN=C1,0.38,1,0,0,0,1.69844,33.711,107.073,6.29844,61,7,36,38,3.22222,1.83333
CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,-3.7,2,1,4,0.2,3.1057,72.3673,254.094,7.69983,724,28,94,108,6.91667,4.27778
CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2(O)C#C,-4.3,2,2,0,0,3.6126,86.5066,296.178,6.43864,941,46,130,165,7.29167,4.63194
COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O,-4.16,2,1,3,0.166667,3.0365,66.5508,230.094,7.4224,530,26,86,100,6.41667,3.83333
COC1=NC=C2N=CC=NC2=N1,-1.11,5,0,1,0.0769231,0.4284,41.68,162.054,9.00301,190,16,60,69,3.33333,2.77778
CCCBr,-1.73,0,0,1,0.333333,1.7913,24.085,121.973,11.0885,10,1,10,8,2.5,1.25
CC(=O)OC1=C(C=C(C(C)=C1N(=O)=O)N(=O)=O)C(C)(C)C,-4.47,6,0,3,0.142857,3.03422,74.4968,296.101,8.00273,816,35,106,123,11.4514,4.5
CC1=C2CC3=CC=CC=C3C2=CC=C1,-5.22,0,0,0,0,3.56622,59.421,180.094,6.92669,267,22,78,95,3.55556,3.02778
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,-1.76,2,1,5,0.294118,2.58374,72.3337,234.173,6.00444,556,23,78,87,7.30556,4.05556
CC(C)CC(C)=O,-1.42,1,0,2,0.333333,1.6215,30.136,100.089,5.26783,48,4,26,24,4.47222,1.66667
OCC(O)C(O)CO,0.7,4,4,3,0.428571,-2.3072,26.1852,122.058,6.78099,68,8,30,31,4.72222,2.11111
COC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(C)=N1,-2.54,6,2,4,0.190476,1.17662,74.9839,294.079,8.64937,836,29,102,116,7.86806,4.375
C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1,-8.06,0,0,0,0,5.1462,78.96,228.094,7.60313,545,32,102,125,3.66667,3.88889
OCC1=CC=CC=C1,-0.4,1,1,1,0.125,1.1789,32.3648,108.058,6.75359,64,7,34,36,2.61111,2
COC1=C2OC(C)=CC(=O)C2=C(OC)C2=C1OC=C2,-2.4,5,0,2,0.0952381,2.86482,70.097,260.068,8.38931,594,35,104,129,6.63889,4.27778
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C#C,-5.66,2,1,0,0,3.8826,90.4928,312.209,6.12174,1034,51,138,177,8.24306,4.78472
OC(=O)COC1=CC=C(Cl)C=C1,-2.29,2,1,3,0.25,1.8034,44.5828,186.008,9.78991,223,12,54,57,4.83333,2.75
FC1=CC=C(I)C=C1,-3.13,0,0,0,0,2.4303,39.117,221.934,18.4945,62,7,36,38,3.22222,1.83333
CC(C)(C)C1=CC=CC=C1,-3.66,0,0,0,0,2.9841,45.142,134.11,5.5879,114,11,48,52,4.42361,2.16667
CC1(C)C2CCC1(C)C(=O)C2,-1.99,1,0,0,0,2.4017,44.236,152.12,5.63408,123,19,66,85,5.09722,2.1875
CC1=CC=C(C=C1)S(N)(=O)=O,-1.74,2,1,1,0.0909091,0.64242,42.5522,171.035,8.55177,152,13,54,59,5.28472,2.33333
CCCCC(C)C(C)O,-1.72,1,1,4,0.5,2.1935,40.3698,130.136,4.81984,102,8,34,34,4.97222,2.27778
NC(=O)NC1NC(=O)NC1=O,-1.6,3,4,1,0.0909091,-2.1798,33.1815,158.044,9.29671,157,11,52,57,5.19444,2.44444
S=C1NCCN1,-0.71,1,2,0,0,-0.5359,28.6034,102.025,8.5021,26,2,26,27,2.11111,1.41667
C=CC=C,-1.87,0,0,1,0.333333,1.3584,20.394,54.047,5.4047,10,1,10,8,2.5,1.25
ClCCCCl,-1.62,0,0,2,0.5,1.8541,26.057,111.985,10.1804,20,2,14,12,2.75,1.5
CCC(=O)NC1=CC=CC=C1,-1.92,1,1,2,0.181818,2.0351,45.3627,149.084,6.77655,168,11,48,51,3.97222,2.66667
CCCCCl,-2.03,0,0,2,0.5,2.0253,25.628,92.0393,6.57423,20,2,14,12,2.75,1.5
CC1=CC(O)=NO1,-0.07,3,1,0,0,0.68862,22.9048,99.032,8.25267,41,4,32,34,2.97222,1.58333
OC(CCl)CCl,-0.11,1,1,2,0.4,0.8249,27.4468,127.98,10.665,31,4,20,19,3.61111,1.66667
CCCCCO,-0.6,1,1,3,0.6,1.1689,26.6108,88.0888,4.89382,35,3,18,16,3,1.75
OC1=CC=CC2=C1C=CC=C2,-2.22,1,1,0,0,2.5454,45.6128,144.058,7.58197,140,15,56,65,3.08333,2.47222
ClC(Cl)=CC(Cl)=C(Cl)Cl,-4.23,0,0,1,0.125,4.1909,44.374,223.852,22.3852,96,8,36,36,5.58333,2.11111
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,-3.76,6,0,7,0.368421,3.58472,79.023,304.101,7.60253,720,26,90,100,8.50694,4.40278
ClCC1=CC=CC=C1,-2.39,0,0,1,0.125,2.4254,35.999,126.024,8.40158,64,7,34,36,2.61111,2
CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C,-1.95,5,0,2,0.117647,1.21984,65.544,238.143,6.80409,518,25,82,93,8.52778,3.77778
NC1=CC=C(Cl)C(Cl)=C1,-3.24,1,1,0,0,2.5756,40.8744,160.98,11.4986,84,10,42,46,4.08333,2.02778
CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-2.41,6,2,3,0.166667,1.22952,66.3089,270.025,10.0009,535,22,88,100,6.50694,3.625
ClC1=CC(Cl)=C(C(Cl)=C1Cl)C1=CC(Cl)=C(Cl)C=C1Cl,-7.92,0,0,1,0.05,7.9274,86.948,391.805,17.8093,644,34,100,120,8.75,4.11111
COC(=O)C1=CC(O)=C(O)C(O)=C1,-1.24,5,3,1,0.0769231,0.59,42.7759,184.037,8.76367,240,19,62,71,6.30556,3
COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,-2.58,6,2,4,0.2,0.8682,70.2469,280.063,9.03429,758,27,96,109,7.00694,4.20833
CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl,-5.69,5,0,3,0.130435,4.217,86.584,344.069,8.60174,1031,34,116,135,10.2014,4.61111
NC1=CC=CC(=C1)N(=O)=O,-2.19,3,1,1,0.1,1.177,37.5088,138.043,8.62768,117,11,46,50,4.33333,2.27778
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,-3.21,5,3,2,0.0689655,1.5576,95.0484,360.194,6.67025,1425,59,154,198,10.2153,5.4375
ClC1=CC=C(Cl)C(=C1Cl)C1=CC=CC=C1,-6.29,0,0,1,0.0625,5.3138,66.908,255.961,11.6346,342,23,76,89,5.30556,3.36111
CC(C)CCOC(C)=O,-1.92,2,0,3,0.375,1.5956,36.088,130.099,5.65649,108,6,34,32,4.97222,2.16667
CCC(C)(C)C,-3.55,0,0,0,0,2.4425,29.746,86.1096,4.30548,28,3,24,22,4.3125,1.375
